2018/01/29-12-26-21	P,R,F4	0.79	0.97	0.96	SGDhinge.py
2018/02/01-12-33-36	P,R,F4	0.53	1.00	0.95	SGDhinge.py
2018/02/01-13-06-49	P,R,F4	0.78	0.99	0.97	SGDhinge.py
2018/02/01-13-19-46	P,R,F4,F1	0.77	0.99	0.97	0.86	SGDhinge.py
2018/02/01-13-24-42	PRF4,F1	0.74	0.98	0.96	0.84	SGDhinge.py
2018/02/02-14-38-22	PRF4,F1	0.73	0.99	0.97	0.84	SGDhinge.py
2018/02/02-14-53-09	PRF4,F1	0.64	1.00	0.97	0.78	SGDhinge.py
2018/02/02-15-01-27	PRF4,F1	0.92	0.84	0.84	0.88	SGDhinge.py
2018/02/02-15-11-24	PRF4,F1	0.88	0.89	0.89	0.88	SGDhinge.py
2018/02/02-15-17-57	PRF4,F1	0.90	0.90	0.90	0.90	SGDhinge.py
2018/02/02-15-31-29	PRF4,F1	0.87	0.89	0.89	0.88	SGDhinge.py
2018/02/14-11-09-47	PRF4,F1	0.92	0.90	0.90	0.91	SGDhinge.py
2018/02/14-11-49-52	PRF4,F1	0.86	0.89	0.89	0.88	SGDhinge.py
2018/02/14-12-02-08	PRF4,F1	0.91	0.88	0.89	0.90	SGDhinge.py
2018/02/14-12-13-31	PRF4,F1	0.88	0.89	0.89	0.89	SGDhinge.py
2018/02/14-12-37-23	PRF4,F1	0.88	0.90	0.90	0.89	SGDhinge.py
2018/02/14-14-29-16	PRF4,F1	0.85	0.95	0.94	0.89	SGDhinge.py
2018/02/14-14-56-18	PRF4,F1	0.90	0.84	0.85	0.87	SGDhinge.py
2018/02/14-15-08-39	PRF4,F1	0.49	1.00	0.94	0.66	SGDhinge.py
2018/02/14-15-16-45	PRF4,F1	0.89	0.92	0.91	0.90	SGDhinge.py
2018/02/14-15-23-33	PRF4,F1	0.91	0.91	0.91	0.91	SGDhinge.py
2018/02/14-15-53-09	PRF4,F1	0.87	0.92	0.92	0.90	SGDlog.py
2018/02/15-08-52-37	PRF4,F1	0.87	0.92	0.92	0.89	SGDlog.py
2018/02/15-09-10-47	PRF4,F1	0.90	0.90	0.90	0.90	SGDlog.py
2018/02/15-09-23-08	PRF4,F1	0.87	0.89	0.89	0.88	SGDlog.py
2018/02/15-10-03-45	PRF4,F1	0.88	0.92	0.92	0.90	SGDmodified_huber.py
2018/02/15-10-11-18	PRF4,F1	0.91	0.92	0.92	0.91	SGDmodified_huber.py
